Name,Type,FDC ID,Protein (g),Total Fat (g),Carbs (g),Calories (kcal),Sugars (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Selenium (mcg),Vitamin A (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin C (mg),Vitamin B-1 (mg),Vitamin B-2 (mg),Vitamin B-3 (mg),Vitamin B-6 (mg),Folate (mcg),Vitamin B-12 (mcg),Vitamin K (mcg),Cholesterol (mg),Saturated Fat (g),Omega-3 EPA (g),Monounsaturated Fat (g),Polyunsaturated Fat (g)
"Refried beans, from canned, reduced sodium",N/A,2707399,4.98,2.01,13.6,89.0,0.54,3.7,29.0,1.44,35.0,92.0,319.0,138.0,0.58,0.129,5.8,0.0,0.09,0.0,0.8,0.072,0.075,0.349,0.098,25.0,0.0,2.3,0.0,0.631,0.0,0.601,0.543
"Refried beans, from fast food / restaurant",N/A,2707397,6.7,9.48,16.3,177.0,0.76,7.8,55.0,1.58,43.0,124.0,390.0,402.0,0.85,0.163,8.1,11.0,0.99,0.0,0.0,0.124,0.102,0.45,0.09,27.0,0.08,15.8,5.0,2.17,0.0,3.01,3.39
"Relish, corn",N/A,2710073,1.7,0.91,25.7,111.0,18.4,1.5,4.0,0.23,10.0,35.0,114.0,336.0,0.24,0.028,0.5,9.0,0.14,0.0,8.7,0.032,0.073,0.757,0.047,30.0,0.0,0.3,0.0,0.176,0.0,0.261,0.37
"Relish, pickle",N/A,2710079,0.37,0.47,35.1,130.0,29.1,1.1,3.0,0.87,5.0,14.0,25.0,811.0,0.14,0.085,0.0,61.0,0.58,0.0,1.0,0.0,0.033,0.233,0.015,1.0,0.0,83.8,0.0,0.054,0.0,0.209,0.122
Reuben sandwich,N/A,2706952,10.0,19.4,16.4,282.0,3.48,2.2,117.0,1.69,21.0,131.0,134.0,688.0,2.0,0.112,20.3,56.0,1.62,0.1,2.5,0.308,0.179,1.93,0.144,32.0,0.7,17.2,43.0,5.79,0.001,6.57,4.68
Rhubarb,N/A,2709268,0.81,0.22,17.4,73.0,14.4,1.6,73.0,0.2,11.0,13.0,233.0,4.0,0.09,0.018,1.1,4.0,0.24,0.0,5.7,0.014,0.028,0.242,0.02,4.0,0.0,26.3,0.0,0.047,0.0,0.035,0.089
"Ribs, NFS",N/A,2705893,16.5,15.0,12.1,254.0,9.89,0.3,39.0,0.91,16.0,124.0,244.0,674.0,2.35,0.093,22.3,7.0,0.44,0.7,0.2,0.285,0.225,5.4,0.322,1.0,0.6,0.7,60.0,5.44,0.0,6.38,2.19
Rice cake,N/A,2708162,7.1,4.3,81.1,392.0,0.88,4.2,11.0,1.49,131.0,360.0,428.0,71.0,3.0,0.445,24.6,0.0,1.24,0.0,0.0,0.06,0.16,7.81,0.15,21.0,0.0,1.9,0.0,0.875,0.0,1.58,1.52
Rice croquette,N/A,2709071,3.35,6.58,20.1,154.0,0.62,0.9,31.0,1.11,14.0,56.0,130.0,416.0,0.51,0.053,8.2,28.0,0.58,0.3,2.1,0.119,0.071,1.09,0.085,54.0,0.09,30.7,43.0,1.72,0.0,2.63,1.76
Rice dessert or salad with fruit,N/A,2709091,1.39,7.29,20.8,154.0,11.0,0.6,22.0,0.36,10.0,25.0,92.0,7.0,0.23,0.068,2.7,67.0,0.2,0.3,26.7,0.079,0.056,0.51,0.081,24.0,0.0,1.0,21.0,4.11,0.002,1.5,0.355
Rice dressing,N/A,2709089,1.98,3.29,17.6,110.0,0.71,0.6,19.0,0.92,8.0,31.0,59.0,600.0,0.26,0.053,3.8,31.0,0.39,0.1,0.5,0.12,0.031,1.04,0.044,36.0,0.02,5.9,0.0,0.663,0.0,1.5,0.984
Rice milk,N/A,2705411,0.28,0.97,9.17,47.0,5.28,0.3,118.0,0.2,11.0,56.0,27.0,39.0,0.13,0.037,2.2,63.0,0.47,1.0,0.0,0.027,0.142,0.39,0.039,2.0,0.63,0.2,0.0,0.0,0.0,0.625,0.313
"Rice noodles, cooked",N/A,2708356,1.78,0.2,23.9,107.0,0.03,1.0,4.0,0.14,3.0,20.0,4.0,250.0,0.25,0.038,4.5,0.0,0.03,0.0,0.0,0.018,0.004,0.072,0.006,1.0,0.0,0.0,0.0,0.023,0.0,0.026,0.023
Rice paper,N/A,2708166,5.91,1.11,72.3,323.0,0.27,0.5,7.0,0.27,20.0,80.0,64.0,314.0,1.02,0.179,4.5,0.0,0.09,0.0,0.0,0.077,0.0,1.06,0.045,14.0,0.0,0.0,0.0,0.328,0.0,0.376,0.322
Rice pilaf,N/A,2709077,3.29,3.03,24.1,137.0,0.48,0.4,29.0,0.74,11.0,46.0,56.0,414.0,0.33,0.057,10.2,1.0,0.51,0.0,1.0,0.152,0.025,1.93,0.12,47.0,0.01,2.8,0.0,0.444,0.0,1.22,1.12
