Name,Type,FDC ID,Protein (g),Total Fat (g),Carbs (g),Calories (kcal),Sugars (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Selenium (mcg),Vitamin A (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin C (mg),Vitamin B-1 (mg),Vitamin B-2 (mg),Vitamin B-3 (mg),Vitamin B-6 (mg),Folate (mcg),Vitamin B-12 (mcg),Vitamin K (mcg),Cholesterol (mg),Saturated Fat (g),Omega-3 EPA (g),Monounsaturated Fat (g),Polyunsaturated Fat (g)
Abalone,N/A,2706337,21.2,6.12,7.46,177.0,0.0,0.0,39.0,3.97,60.0,236.0,310.0,574.0,1.02,0.243,55.6,2.0,5.95,0.0,2.0,0.201,0.118,1.77,0.168,5.0,0.77,33.8,106.0,0.877,0.061,2.33,2.12
"Adobo, with noodles",N/A,2708809,16.9,7.66,8.14,172.0,0.03,0.4,15.0,0.99,18.0,149.0,200.0,510.0,2.39,0.085,23.1,4.0,0.2,0.3,0.0,0.192,0.204,3.06,0.216,3.0,0.43,0.0,72.0,2.48,0.0,3.47,0.973
"Adobo, with rice",N/A,2708958,17.7,7.94,8.86,181.0,0.03,0.2,18.0,1.34,21.0,161.0,216.0,522.0,2.54,0.096,24.6,4.0,0.21,0.4,0.0,0.242,0.213,3.59,0.25,21.0,0.44,0.0,75.0,2.58,0.0,3.61,1.02
Agave liquid sweetener,N/A,2710282,0.09,0.45,76.4,310.0,68.0,0.2,1.0,0.09,1.0,1.0,4.0,4.0,0.01,0.009,1.7,8.0,0.98,0.0,17.0,0.122,0.165,0.689,0.234,30.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0
Alcoholic coffee drink,N/A,2710681,0.21,2.38,2.1,88.0,2.04,0.0,5.0,0.02,2.0,7.0,40.0,3.0,0.04,0.007,0.2,22.0,0.07,0.1,0.0,0.013,0.064,0.135,0.003,2.0,0.0,0.3,7.0,1.36,0.001,0.497,0.105
Alcoholic malt beverage,N/A,2710620,0.9,0.0,0.27,58.0,0.0,0.0,8.0,0.03,12.0,32.0,62.0,4.0,0.01,0.008,0.6,0.0,0.0,0.0,0.0,0.03,0.09,1.1,0.09,18.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic malt beverage, sweetened",N/A,2710619,0.0,0.0,10.1,68.0,9.77,0.0,4.0,0.03,4.0,7.0,27.0,5.0,0.01,0.008,0.3,0.0,0.02,0.0,2.8,0.006,0.01,0.225,0.022,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
"Alfalfa sprouts, raw",N/A,2709765,3.99,0.69,2.1,23.0,0.2,1.9,32.0,0.96,27.0,70.0,79.0,6.0,0.92,0.157,0.6,8.0,0.02,0.0,8.2,0.076,0.126,0.481,0.034,36.0,0.0,30.5,0.0,0.069,0.0,0.056,0.409
Alfredo sauce,N/A,2705809,2.12,15.0,1.77,150.0,0.9,0.0,66.0,0.02,4.0,50.0,39.0,552.0,0.29,0.008,2.7,137.0,0.3,0.5,0.2,0.011,0.074,0.022,0.013,2.0,0.07,1.3,44.0,8.52,0.004,3.12,0.622
Alfredo sauce with added vegetables,N/A,2705810,2.07,11.5,2.65,122.0,1.44,0.4,53.0,0.11,7.0,52.0,102.0,423.0,0.31,0.051,3.8,113.0,0.34,0.4,10.7,0.022,0.109,0.463,0.05,8.0,0.06,2.0,33.0,6.53,0.003,2.39,0.51
Alfredo sauce with meat,N/A,2705811,6.52,15.3,1.44,171.0,0.73,0.0,58.0,0.48,7.0,76.0,89.0,520.0,1.4,0.022,6.2,111.0,0.27,0.4,0.1,0.018,0.093,0.969,0.079,3.0,0.56,1.4,52.0,8.14,0.003,3.94,0.598
Alfredo sauce with meat and added vegetables,N/A,2705812,6.47,12.5,2.15,148.0,1.17,0.3,48.0,0.55,9.0,78.0,140.0,415.0,1.42,0.056,7.1,93.0,0.3,0.3,8.7,0.027,0.121,1.33,0.109,9.0,0.55,1.9,43.0,6.52,0.002,3.35,0.507
Alfredo sauce with poultry,N/A,2705813,6.87,13.6,1.44,156.0,0.73,0.0,58.0,0.21,8.0,88.0,87.0,518.0,0.67,0.026,7.0,114.0,0.29,0.4,0.1,0.025,0.097,1.67,0.086,3.0,0.26,1.1,53.0,7.28,0.004,3.03,0.876
Alfredo sauce with poultry and added vegetables,N/A,2705814,6.83,10.8,2.15,133.0,1.17,0.3,47.0,0.28,11.0,89.0,138.0,413.0,0.68,0.061,7.9,95.0,0.32,0.3,8.7,0.034,0.125,2.03,0.116,8.0,0.25,1.6,45.0,5.67,0.003,2.43,0.785
Alfredo sauce with seafood,N/A,2705815,5.91,12.5,1.99,145.0,0.73,0.0,73.0,0.47,10.0,89.0,98.0,541.0,0.5,0.039,11.4,125.0,0.45,0.4,0.5,0.012,0.068,0.124,0.013,3.0,1.87,1.1,64.0,6.97,0.037,2.57,0.599
Alfredo sauce with seafood and added vegetables,N/A,2705816,5.87,9.66,2.7,122.0,1.17,0.3,63.0,0.54,12.0,91.0,150.0,436.0,0.51,0.074,12.3,106.0,0.48,0.3,9.0,0.021,0.096,0.483,0.043,8.0,1.86,1.6,55.0,5.36,0.036,1.97,0.508
Almond butter,N/A,2707533,20.7,52.7,21.1,641.0,4.4,9.6,263.0,4.08,266.0,504.0,741.0,232.0,3.16,0.969,0.8,0.0,16.6,0.0,0.0,0.094,0.933,3.89,0.083,42.0,0.0,0.0,0.0,4.22,0.0,34.5,12.5
"Almond butter and jelly sandwich, on wheat bread",N/A,2707565,12.0,17.2,42.9,372.0,13.2,5.8,163.0,2.89,107.0,234.0,322.0,307.0,1.64,0.381,15.1,0.0,4.92,0.0,0.2,0.24,0.386,3.73,0.113,51.0,0.0,3.0,0.0,1.59,0.001,10.2,4.42
"Almond butter and jelly sandwich, on white bread",N/A,2707564,11.0,17.0,44.9,374.0,13.3,4.2,189.0,3.0,92.0,206.0,284.0,313.0,1.38,0.345,12.7,0.0,4.85,0.0,0.2,0.299,0.4,3.67,0.077,72.0,0.0,0.2,0.0,1.65,0.001,10.2,4.58
"Almond butter sandwich, on wheat bread",N/A,2707563,14.6,20.9,37.0,395.0,4.93,6.9,197.0,3.48,130.0,284.0,381.0,368.0,1.98,0.462,18.3,0.0,5.99,0.0,0.1,0.292,0.464,4.54,0.133,62.0,0.0,3.6,0.0,1.94,0.001,12.4,5.38
"Almond butter sandwich, on white bread",N/A,2707562,13.3,20.7,39.4,397.0,5.01,4.9,229.0,3.61,110.0,249.0,334.0,374.0,1.67,0.418,15.4,0.0,5.91,0.0,0.0,0.363,0.481,4.46,0.089,87.0,0.0,0.1,0.0,2.0,0.001,12.5,5.58
"Almond butter, lower sodium",N/A,2707534,20.8,53.0,21.2,645.0,4.43,9.7,264.0,4.11,268.0,507.0,745.0,1.0,3.18,0.975,0.8,0.0,16.7,0.0,0.0,0.095,0.939,3.91,0.084,42.0,0.0,0.0,0.0,4.25,0.0,34.7,12.6
Almond chicken,N/A,2706797,15.7,13.2,4.46,195.0,1.42,1.2,36.0,0.82,37.0,166.0,243.0,330.0,1.14,0.137,12.6,19.0,3.15,0.0,11.8,0.051,0.21,4.34,0.18,16.0,0.19,13.7,57.0,1.92,0.0,6.37,3.78
"Almond milk, NFS",N/A,2705410,0.54,1.21,1.53,20.0,1.2,0.0,171.0,0.29,7.0,30.0,31.0,59.0,0.17,0.021,0.0,41.0,3.28,0.9,0.0,0.0,0.033,0.073,0.0,0.0,0.34,0.0,0.0,0.103,0.0,0.72,0.273
"Almond milk, chocolate",N/A,2705408,0.57,1.2,7.44,43.0,6.97,0.1,161.0,0.31,8.0,30.0,33.0,56.0,0.18,0.031,0.1,38.0,3.08,0.8,0.0,0.0,0.033,0.075,0.0,0.0,0.32,0.0,0.0,0.121,0.0,0.69,0.257
"Almond milk, sweetened",N/A,2705407,0.53,1.18,4.31,30.0,3.99,0.0,166.0,0.28,7.0,29.0,30.0,58.0,0.16,0.02,0.0,39.0,3.19,0.9,0.0,0.0,0.032,0.071,0.0,0.0,0.33,0.0,0.0,0.1,0.0,0.7,0.265
"Almond milk, unsweetened",N/A,2705409,0.55,1.22,0.34,15.0,0.0,0.0,173.0,0.29,7.0,30.0,31.0,60.0,0.17,0.021,0.0,41.0,3.32,0.9,0.0,0.0,0.033,0.074,0.0,0.0,0.34,0.0,0.0,0.104,0.0,0.729,0.276
Almond oil,N/A,2710181,0.0,100.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.2,0.0,69.9,17.4
Almond paste,N/A,2707535,9.0,27.7,47.8,458.0,36.2,4.8,172.0,1.6,130.0,258.0,314.0,9.0,1.48,0.454,4.2,0.0,13.5,0.0,0.1,0.082,0.414,1.42,0.036,73.0,0.0,0.0,0.0,2.63,0.0,18.0,5.82
"Almonds, NFS",N/A,2707485,21.0,52.5,21.0,598.0,4.86,10.9,268.0,3.73,279.0,471.0,713.0,3.0,3.31,1.1,2.0,0.0,23.9,0.0,0.0,0.077,1.2,3.64,0.136,55.0,0.0,0.0,0.0,4.09,0.0,33.1,13.0
"Almonds, chocolate covered candy",N/A,2710326,13.0,38.8,44.0,560.0,32.8,6.4,221.0,2.9,149.0,313.0,508.0,49.0,2.7,0.734,3.5,35.0,9.87,0.0,0.0,0.098,0.658,1.69,0.076,29.0,0.45,3.4,14.0,12.7,0.0,17.5,6.01
"Almonds, flavored",N/A,2707490,20.1,53.3,20.1,599.0,4.65,10.4,257.0,3.58,267.0,451.0,683.0,500.0,3.17,1.05,1.9,0.0,23.4,0.0,0.0,0.074,1.15,3.48,0.13,53.0,0.0,3.0,0.0,4.31,0.0,32.9,13.5
"Almonds, honey roasted",N/A,2707491,14.1,45.3,35.8,579.0,25.0,7.3,181.0,2.54,188.0,317.0,481.0,385.0,2.23,0.741,1.5,0.0,18.0,0.0,0.0,0.052,0.81,2.45,0.092,37.0,0.0,9.9,0.0,4.08,0.0,26.5,12.5
"Almonds, lightly salted",N/A,2707488,20.2,53.7,20.3,604.0,4.69,10.5,259.0,3.6,269.0,455.0,688.0,195.0,3.2,1.06,1.9,0.0,23.6,0.0,0.0,0.074,1.16,3.51,0.131,53.0,0.0,3.0,0.0,4.35,0.0,33.2,13.6
"Almonds, salted",N/A,2707487,20.1,53.4,20.2,601.0,4.67,10.5,258.0,3.59,268.0,452.0,685.0,386.0,3.18,1.06,1.9,0.0,23.5,0.0,0.0,0.074,1.15,3.49,0.131,53.0,0.0,3.0,0.0,4.33,0.0,33.0,13.6
"Almonds, unroasted",N/A,2707486,21.4,51.1,20.0,626.0,4.35,10.8,254.0,3.74,258.0,503.0,733.0,0.0,2.86,0.91,4.1,0.0,25.6,0.0,0.0,0.16,1.14,3.77,0.101,44.0,0.0,0.0,0.0,3.78,0.0,31.3,11.2
"Almonds, unsalted",N/A,2707489,20.3,54.0,20.4,607.0,4.71,10.6,260.0,3.62,271.0,457.0,692.0,3.0,3.21,1.07,1.9,0.0,23.8,0.0,0.0,0.075,1.16,3.53,0.132,53.0,0.0,3.0,0.0,4.37,0.0,33.4,13.7
Aloe vera juice drink,N/A,2709833,0.0,0.0,3.75,15.0,3.75,0.0,8.0,0.15,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambrosia,N/A,2709286,0.81,0.98,16.4,75.0,12.8,2.0,24.0,0.12,15.0,15.0,201.0,1.0,0.12,0.079,0.5,6.0,0.12,0.0,43.8,0.072,0.028,0.349,0.104,23.0,0.0,0.2,0.0,0.748,0.0,0.056,0.047
Animal fat or drippings,N/A,2710165,2.23,92.2,0.0,841.0,0.0,0.0,5.0,0.23,1.0,13.0,21.0,604.0,0.34,0.008,1.8,0.0,0.64,2.2,0.0,0.006,0.01,0.32,0.029,0.0,0.19,0.6,93.0,35.6,0.0,41.2,10.1
Anisette toast,N/A,2707703,7.63,8.38,67.0,373.0,28.4,1.4,112.0,3.15,17.0,205.0,97.0,262.0,0.51,0.083,12.8,20.0,1.4,0.3,0.4,0.378,0.277,3.01,0.037,62.0,0.1,6.5,46.0,1.29,0.0,3.2,2.86
"Antipasto with ham, fish, cheese, vegetables",N/A,2706874,11.6,10.7,3.75,158.0,1.51,1.1,178.0,0.8,21.0,180.0,248.0,854.0,1.47,0.077,18.9,288.0,1.03,0.4,1.5,0.108,0.179,3.36,0.169,11.0,0.5,9.7,39.0,4.63,0.078,3.75,1.08
Apple cider,N/A,2709319,0.1,0.13,11.3,46.0,9.62,0.2,8.0,0.12,5.0,7.0,101.0,4.0,0.02,0.012,0.1,0.0,0.01,0.0,0.9,0.021,0.017,0.073,0.018,0.0,0.0,0.0,0.0,0.022,0.0,0.006,0.039
"Apple juice beverage, 40-50% juice, light",N/A,2710591,0.0,0.1,5.1,22.0,4.8,0.0,3.0,0.2,5.0,9.0,51.0,13.0,0.04,0.01,0.1,0.0,0.01,0.0,24.0,0.004,0.015,0.067,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Apple juice, 100%",N/A,2709320,0.09,0.25,11.3,48.0,10.1,0.2,7.0,0.06,5.0,6.0,97.0,5.0,0.0,0.005,0.1,0.0,0.01,0.0,38.6,0.005,0.017,0.026,0.015,2.0,0.0,0.0,0.0,0.022,0.0,0.006,0.039
"Apple juice, 100%, with calcium added",N/A,2709321,0.12,0.17,11.5,48.0,9.47,0.3,70.0,0.13,5.0,9.0,184.0,5.0,0.04,0.01,0.1,0.0,0.01,0.0,30.3,0.004,0.015,0.067,0.018,0.0,0.0,0.0,0.0,0.029,0.0,0.008,0.051
Apple pie filling,N/A,2709219,0.1,0.1,26.1,100.0,13.8,1.0,4.0,0.29,2.0,7.0,45.0,47.0,0.04,0.055,0.3,2.0,0.04,0.0,1.7,0.012,0.011,0.035,0.016,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Apple salad with dressing,N/A,2709293,1.45,14.2,12.2,180.0,9.1,2.0,15.0,0.28,15.0,39.0,148.0,87.0,0.24,0.112,0.6,6.0,0.61,0.0,3.4,0.04,0.043,0.189,0.087,12.0,0.02,26.2,5.0,1.9,0.0,2.77,8.98
"Apple, baked",N/A,2709220,0.32,3.08,22.7,113.0,19.0,2.5,14.0,0.19,6.0,13.0,114.0,4.0,0.05,0.03,0.1,29.0,0.19,0.0,3.9,0.015,0.026,0.096,0.045,2.0,0.0,2.6,8.0,1.64,0.001,0.604,0.143
"Apple, candied",N/A,2709294,1.34,2.15,29.6,134.0,24.2,1.8,39.0,0.12,8.0,37.0,134.0,62.0,0.14,0.025,0.4,5.0,0.25,0.0,3.6,0.038,0.084,0.105,0.045,3.0,0.08,2.1,2.0,0.64,0.0,0.391,0.908
"Apple, dried",N/A,2709196,0.93,0.32,65.9,243.0,57.2,8.7,14.0,1.4,16.0,38.0,450.0,87.0,0.2,0.191,1.3,0.0,0.53,0.0,3.9,0.0,0.159,0.927,0.125,0.0,0.0,3.0,0.0,0.052,0.0,0.013,0.093
"Apple, raw",N/A,2709215,0.17,0.15,14.8,61.0,12.1,2.1,5.0,0.03,5.0,9.0,104.0,0.0,0.02,0.03,0.0,3.0,0.18,0.0,4.6,0.01,0.07,0.091,0.03,0.0,0.0,2.2,0.0,0.028,0.0,0.007,0.051
"Applesauce, flavored",N/A,2709218,0.25,0.17,18.0,75.0,15.6,1.0,4.0,0.04,4.0,8.0,101.0,1.0,0.0,0.037,0.3,0.0,0.15,0.0,40.8,0.024,0.029,0.079,0.025,3.0,0.0,0.5,0.0,0.007,0.0,0.002,0.013
"Applesauce, regular",N/A,2709216,0.25,0.17,18.0,75.0,15.6,1.0,4.0,0.04,4.0,8.0,101.0,1.0,0.0,0.037,0.3,0.0,0.15,0.0,40.8,0.024,0.029,0.079,0.025,3.0,0.0,0.5,0.0,0.007,0.0,0.002,0.013
"Applesauce, unsweetened",N/A,2709217,0.27,0.16,12.3,52.0,9.66,1.1,4.0,0.04,4.0,9.0,108.0,1.0,0.0,0.039,0.3,0.0,0.16,0.0,43.7,0.026,0.03,0.084,0.027,3.0,0.0,0.5,0.0,0.008,0.0,0.002,0.014
Apricot nectar,N/A,2709341,0.17,0.45,13.6,56.0,12.8,0.1,11.0,0.1,5.0,5.0,67.0,8.0,0.03,0.019,0.0,16.0,0.41,0.0,29.7,0.06,0.015,0.15,0.037,1.0,0.0,1.2,0.0,0.033,0.0,0.186,0.087
"Apricot, canned",N/A,2709222,0.65,0.17,13.8,57.0,12.4,1.5,7.0,0.3,6.0,12.0,177.0,3.0,0.1,0.076,0.1,90.0,0.55,0.0,3.1,0.019,0.023,0.363,0.05,2.0,0.0,2.0,0.0,0.01,0.0,0.063,0.029
"Apricot, dried",N/A,2709197,3.39,0.51,62.6,241.0,53.4,7.3,55.0,2.66,32.0,71.0,1160.0,10.0,0.39,0.343,2.2,180.0,4.33,0.0,1.0,0.015,0.074,2.59,0.143,10.0,0.0,3.1,0.0,0.017,0.0,0.074,0.074
"Apricot, raw",N/A,2709221,1.4,0.39,11.1,48.0,9.24,2.0,13.0,0.39,10.0,23.0,259.0,1.0,0.2,0.078,0.1,96.0,0.89,0.0,10.0,0.03,0.04,0.6,0.054,9.0,0.0,3.3,0.0,0.027,0.0,0.17,0.077
Arepa Dominicana,N/A,2707828,5.66,14.0,30.5,267.0,3.25,2.4,82.0,2.31,28.0,132.0,202.0,399.0,0.74,0.124,10.1,62.0,0.54,0.8,0.8,0.176,0.205,1.76,0.087,60.0,0.19,3.3,53.0,9.08,0.0,2.46,1.45
Armadillo,N/A,2705926,28.1,4.34,0.0,159.0,0.0,0.0,16.0,1.11,27.0,133.0,393.0,367.0,2.99,0.056,12.9,0.0,0.38,0.0,0.0,0.308,0.139,4.18,0.415,6.0,0.69,1.4,76.0,1.29,0.0,1.7,0.635
Artichoke,N/A,2709766,2.89,0.34,12.0,53.0,0.99,5.7,21.0,0.61,42.0,73.0,286.0,60.0,0.4,0.127,0.2,1.0,0.19,0.0,7.4,0.05,0.089,1.11,0.081,89.0,0.0,14.8,0.0,0.079,0.0,0.011,0.145
Artichoke dip,N/A,2705782,3.86,32.7,5.78,331.0,2.08,0.9,103.0,0.21,13.0,97.0,130.0,607.0,0.55,0.035,4.4,71.0,1.27,0.1,2.0,0.032,0.1,0.207,0.048,18.0,0.15,56.6,37.0,8.46,0.003,7.26,15.2
"Artichokes, stuffed",N/A,2710039,5.33,5.94,22.3,160.0,2.13,3.9,85.0,1.43,32.0,95.0,218.0,404.0,0.67,0.12,6.7,14.0,0.92,0.0,5.3,0.194,0.138,1.85,0.074,63.0,0.1,28.2,3.0,1.39,0.0,2.97,0.907
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",N/A,2706817,10.2,5.26,8.11,116.0,3.0,1.8,43.0,0.82,38.0,115.0,288.0,167.0,0.6,0.109,8.0,127.0,1.81,0.0,10.5,0.09,0.167,3.34,0.15,36.0,0.08,62.4,24.0,0.8,0.0,2.79,1.17
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",N/A,2706816,11.4,5.46,9.5,130.0,2.99,1.9,39.0,0.96,35.0,126.0,280.0,176.0,0.6,0.096,9.7,108.0,1.78,0.0,10.0,0.108,0.168,3.8,0.156,36.0,0.09,51.8,27.0,0.946,0.0,2.77,1.06
"Asian stir fry vegetables, cooked, fat added",N/A,2710036,2.01,2.84,9.65,71.0,3.53,2.8,35.0,1.01,17.0,47.0,244.0,146.0,0.38,0.081,0.8,231.0,0.85,0.0,35.3,0.054,0.093,0.771,0.194,34.0,0.0,39.3,2.0,0.712,0.0,0.92,0.814
"Asian stir fry vegetables, cooked, no added fat",N/A,2710035,2.07,0.3,9.93,50.0,3.63,2.9,36.0,1.04,18.0,49.0,251.0,141.0,0.4,0.083,0.8,226.0,0.48,0.0,36.3,0.055,0.096,0.794,0.183,35.0,0.0,38.3,0.0,0.047,0.0,0.017,0.085
"Asparagus, NS as to form, cooked",N/A,2709837,2.3,2.86,4.04,45.0,1.96,2.2,25.0,2.23,15.0,54.0,211.0,132.0,0.56,0.197,2.4,50.0,1.59,0.0,5.0,0.134,0.14,0.967,0.103,46.0,0.0,45.6,2.0,0.758,0.0,0.971,0.837
"Asparagus, canned, cooked with butter or margarine",N/A,2709846,2.09,2.82,2.4,38.0,1.04,1.6,16.0,1.78,10.0,42.0,168.0,296.0,0.39,0.093,1.6,63.0,1.4,0.1,16.1,0.056,0.097,0.926,0.14,89.0,0.0,41.4,4.0,1.09,0.0,0.598,0.622
"Asparagus, canned, cooked with oil",N/A,2709845,2.08,3.54,2.39,45.0,1.03,1.6,16.0,1.78,10.0,42.0,167.0,279.0,0.39,0.093,1.6,40.0,1.74,0.0,16.1,0.056,0.097,0.926,0.107,89.0,0.0,43.0,0.0,0.532,0.0,1.26,1.39
"Asparagus, canned, cooked, fat added, NS as to fat type",N/A,2709840,2.09,3.18,2.39,41.0,1.03,1.6,16.0,1.78,10.0,42.0,167.0,287.0,0.39,0.093,1.6,51.0,1.57,0.0,16.1,0.056,0.097,0.926,0.123,89.0,0.0,42.2,2.0,0.811,0.0,0.926,1.01
"Asparagus, canned, cooked, no added fat",N/A,2709836,2.14,0.65,2.46,19.0,1.06,1.6,16.0,1.83,10.0,43.0,172.0,287.0,0.4,0.096,1.7,41.0,1.22,0.0,16.6,0.058,0.1,0.954,0.11,91.0,0.0,41.3,0.0,0.147,0.0,0.021,0.284
"Asparagus, fresh, cooked with butter or margarine",N/A,2709842,2.31,2.48,4.05,42.0,1.97,2.2,26.0,2.23,15.0,55.0,211.0,141.0,0.56,0.197,2.4,62.0,1.4,0.1,5.0,0.134,0.14,0.967,0.12,46.0,0.0,44.7,4.0,1.06,0.0,0.619,0.423
"Asparagus, fresh, cooked with oil",N/A,2709841,2.29,3.25,4.04,49.0,1.96,2.2,25.0,2.23,15.0,54.0,210.0,123.0,0.56,0.197,2.4,38.0,1.77,0.0,5.0,0.134,0.139,0.967,0.085,46.0,0.0,46.4,0.0,0.459,0.0,1.32,1.25
"Asparagus, fresh, cooked, fat added, NS as to fat type",N/A,2709838,2.3,2.86,4.04,45.0,1.96,2.2,25.0,2.23,15.0,54.0,211.0,132.0,0.56,0.197,2.4,50.0,1.59,0.0,5.0,0.134,0.14,0.967,0.103,46.0,0.0,45.6,2.0,0.758,0.0,0.971,0.837
"Asparagus, fresh, cooked, no added fat",N/A,2709834,2.36,0.13,4.16,21.0,2.02,2.3,26.0,2.29,15.0,56.0,217.0,127.0,0.58,0.203,2.5,39.0,1.21,0.0,5.1,0.138,0.144,0.996,0.088,47.0,0.0,44.6,0.0,0.043,0.0,0.0,0.054
"Asparagus, frozen, cooked with butter or margarine",N/A,2709844,2.87,2.59,1.87,37.0,0.32,1.5,18.0,0.54,10.0,48.0,167.0,132.0,0.4,0.102,3.8,61.0,1.37,0.0,23.6,0.063,0.1,1.0,0.052,131.0,0.0,78.7,4.0,1.04,0.0,0.589,0.524
"Asparagus, frozen, cooked with oil",N/A,2709843,2.86,3.31,1.86,44.0,0.31,1.5,18.0,0.55,10.0,47.0,167.0,115.0,0.4,0.102,3.8,39.0,1.71,0.0,23.6,0.063,0.1,1.0,0.019,131.0,0.0,80.4,0.0,0.481,0.0,1.24,1.29
"Asparagus, frozen, cooked, fat added, NS as to fat type",N/A,2709839,2.86,2.95,1.86,40.0,0.32,1.5,18.0,0.55,10.0,48.0,167.0,124.0,0.4,0.102,3.8,50.0,1.54,0.0,23.6,0.063,0.1,1.0,0.036,131.0,0.0,79.5,2.0,0.759,0.0,0.916,0.909
"Asparagus, frozen, cooked, no added fat",N/A,2709835,2.94,0.42,1.91,18.0,0.32,1.6,18.0,0.56,10.0,49.0,171.0,119.0,0.41,0.105,3.9,40.0,1.2,0.0,24.3,0.065,0.103,1.04,0.02,135.0,0.0,79.8,0.0,0.096,0.0,0.013,0.184
"Asparagus, raw",N/A,2709767,2.2,0.12,3.88,20.0,1.88,2.1,24.0,2.14,14.0,52.0,202.0,2.0,0.54,0.189,2.3,38.0,1.13,0.0,5.6,0.143,0.141,0.978,0.091,52.0,0.0,41.6,0.0,0.04,0.0,0.0,0.05
Atole,N/A,2710607,1.69,1.54,16.3,86.0,13.9,0.2,59.0,0.17,9.0,51.0,74.0,18.0,0.25,0.012,1.2,14.0,0.03,0.5,0.0,0.046,0.075,0.22,0.039,2.0,0.22,0.1,5.0,0.819,0.0,0.33,0.104
Atole de avena,N/A,2710605,1.74,1.58,15.5,83.0,14.0,0.2,56.0,0.1,9.0,53.0,74.0,18.0,0.28,0.014,1.6,14.0,0.03,0.5,0.0,0.032,0.066,0.07,0.027,1.0,0.22,0.2,5.0,0.835,0.0,0.346,0.102
Atole de chocolate,N/A,2710608,1.8,1.78,20.3,103.0,17.2,0.6,59.0,0.3,10.0,56.0,89.0,30.0,0.26,0.044,1.4,13.0,0.04,0.6,0.4,0.04,0.094,0.247,0.032,4.0,0.12,0.1,6.0,1.01,0.0,0.504,0.121
Avocado dressing,N/A,2710208,1.9,43.3,7.36,427.0,6.67,0.1,34.0,0.35,7.0,31.0,58.0,867.0,0.25,0.01,1.6,10.0,4.6,0.0,0.2,0.02,0.05,0.14,0.01,4.0,0.26,96.7,40.0,5.98,0.0,9.42,23.2
"Avocado, for use on a sandwich",N/A,2710248,2.0,14.7,8.53,160.0,0.66,6.7,12.0,0.55,29.0,52.0,485.0,7.0,0.64,0.19,0.4,7.0,2.07,0.0,10.0,0.067,0.13,1.74,0.257,81.0,0.0,21.0,0.0,2.13,0.0,9.8,1.82
"Avocado, raw",N/A,2709223,2.0,14.7,8.53,160.0,0.66,6.7,12.0,0.55,29.0,52.0,485.0,7.0,0.64,0.19,0.4,7.0,2.07,0.0,10.0,0.067,0.13,1.74,0.257,81.0,0.0,21.0,0.0,2.13,0.0,9.8,1.82
"Baby Toddler apples, Stage 1",N/A,2709363,0.2,0.2,10.8,41.0,9.87,1.7,4.0,0.22,3.0,7.0,71.0,0.0,0.02,0.038,0.3,1.0,0.6,0.0,38.3,0.012,0.028,0.061,0.031,2.0,0.0,0.5,0.0,0.032,0.0,0.008,0.056
"Baby Toddler apples, Stage 2",N/A,2709364,0.0,0.0,10.3,37.0,8.48,1.7,5.0,0.22,3.0,6.0,77.0,1.0,0.04,0.035,0.3,0.0,0.6,0.0,37.8,0.012,0.027,0.063,0.03,2.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
"Baby Toddler bananas, Stage 1",N/A,2709365,1.0,0.2,21.3,91.0,11.4,1.6,4.0,0.3,26.0,20.0,290.0,2.0,0.05,0.04,1.1,0.0,0.25,0.0,21.9,0.02,0.06,0.54,0.26,17.0,0.0,0.5,0.0,0.072,0.0,0.028,0.041
"Baby Toddler bananas, Stage 2",N/A,2709366,1.0,0.2,21.3,91.0,11.4,1.6,4.0,0.3,26.0,20.0,290.0,2.0,0.05,0.04,1.1,0.0,0.25,0.0,21.9,0.02,0.06,0.54,0.26,17.0,0.0,0.5,0.0,0.072,0.0,0.028,0.041
Baby Toddler bar,N/A,2708129,5.43,5.3,68.6,344.0,42.0,1.7,1050.0,13.2,19.0,247.0,180.0,157.0,0.59,0.082,14.1,14.0,0.9,0.0,2.4,0.921,1.05,11.8,1.1,65.0,0.19,4.1,1.0,0.453,0.0,3.11,1.54
